Date,Dividends
2010-01-20 00:00:00-05:00,0.44
2010-04-28 00:00:00-04:00,0.482
2010-07-21 00:00:00-04:00,0.482
2010-10-20 00:00:00-04:00,0.482
2011-01-19 00:00:00-05:00,0.482
2011-04-27 00:00:00-04:00,0.525
2011-07-20 00:00:00-04:00,0.525
2011-10-19 00:00:00-04:00,0.525
2012-01-18 00:00:00-05:00,0.525
2012-04-25 00:00:00-04:00,0.562
2012-07-18 00:00:00-04:00,0.562
2012-10-17 00:00:00-04:00,0.562
2013-01-16 00:00:00-05:00,0.562
2013-04-24 00:00:00-04:00,0.602
2013-07-17 00:00:00-04:00,0.602
2013-10-16 00:00:00-04:00,0.602
2014-01-22 00:00:00-05:00,0.602
2014-04-23 00:00:00-04:00,0.644
2014-07-16 00:00:00-04:00,0.644
2014-10-22 00:00:00-04:00,0.644
2015-01-21 00:00:00-05:00,0.644
2015-04-23 00:00:00-04:00,0.663
2015-07-22 00:00:00-04:00,0.663
2015-10-21 00:00:00-04:00,0.663
2016-01-20 00:00:00-05:00,0.663
2016-04-14 00:00:00-04:00,0.67
2016-07-20 00:00:00-04:00,0.67
2016-10-19 00:00:00-04:00,0.67
2017-01-18 00:00:00-05:00,0.67
2017-04-19 00:00:00-04:00,0.69
2017-07-19 00:00:00-04:00,0.69
2017-10-19 00:00:00-04:00,0.69
2018-01-18 00:00:00-05:00,0.69
2018-04-19 00:00:00-04:00,0.717
2018-07-19 00:00:00-04:00,0.717
2018-10-18 00:00:00-04:00,0.717
2019-01-17 00:00:00-05:00,0.717
2019-04-17 00:00:00-04:00,0.746
2019-07-18 00:00:00-04:00,0.746
2019-10-17 00:00:00-04:00,0.746
2020-01-23 00:00:00-05:00,0.746
2020-04-23 00:00:00-04:00,0.791
2020-07-23 00:00:00-04:00,0.791
2020-10-22 00:00:00-04:00,0.791
2021-01-21 00:00:00-05:00,0.791
2021-04-22 00:00:00-04:00,0.87
2021-07-22 00:00:00-04:00,0.87
2021-10-21 00:00:00-04:00,0.87
2022-01-20 00:00:00-05:00,0.87
2022-04-21 00:00:00-04:00,0.913
2022-07-21 00:00:00-04:00,0.913
2022-10-20 00:00:00-04:00,0.913
2023-01-19 00:00:00-05:00,0.913
2023-04-20 00:00:00-04:00,0.941
2023-07-20 00:00:00-04:00,0.941
2023-10-19 00:00:00-04:00,0.941
2024-01-18 00:00:00-05:00,0.941
2024-04-18 00:00:00-04:00,1.007
2024-07-19 00:00:00-04:00,1.007
2024-10-18 00:00:00-04:00,1.007
2025-01-24 00:00:00-05:00,1.007
2025-04-21 00:00:00-04:00,1.057
2025-07-18 00:00:00-04:00,1.057
2025-10-24 00:00:00-04:00,1.057
