Date,Dividends
2010-07-06 00:00:00-04:00,0.469
2011-06-29 00:00:00-04:00,0.519
2012-07-05 00:00:00-04:00,0.502
2013-07-03 00:00:00-04:00,0.502
2014-07-14 00:00:00-04:00,0.502
2015-06-29 00:00:00-04:00,0.728
2016-06-27 00:00:00-04:00,0.929
2017-06-26 00:00:00-04:00,1.159
2018-06-25 00:00:00-04:00,1.345
2019-06-24 00:00:00-04:00,1.276
2019-09-19 00:00:00-04:00,0.322
2019-12-19 00:00:00-05:00,0.41
2020-03-19 00:00:00-04:00,0.417
2020-06-18 00:00:00-04:00,0.42
2020-09-17 00:00:00-04:00,0.427
2020-12-17 00:00:00-05:00,0.442
2021-03-17 00:00:00-04:00,0.448
2021-06-17 00:00:00-04:00,0.451
2021-09-16 00:00:00-04:00,0.497
2021-12-16 00:00:00-05:00,0.496
2022-03-16 00:00:00-04:00,0.49
2022-06-16 00:00:00-04:00,0.467
2022-09-15 00:00:00-04:00,0.448
2022-12-15 00:00:00-05:00,0.451
2023-03-16 00:00:00-04:00,0.449
2023-06-15 00:00:00-04:00,0.448
2023-09-14 00:00:00-04:00,0.471
2023-12-14 00:00:00-05:00,0.479
2024-03-18 00:00:00-04:00,0.554
2024-06-13 00:00:00-04:00,0.544
2024-09-12 00:00:00-04:00,0.626
2024-12-12 00:00:00-05:00,0.616
2025-03-18 00:00:00-04:00,0.684
2025-06-12 00:00:00-04:00,0.78
2025-09-16 00:00:00-04:00,0.822
2025-12-11 00:00:00-05:00,0.835
