Date,Dividends
2010-02-03 00:00:00-05:00,0.05
2010-05-05 00:00:00-04:00,0.05
2010-08-04 00:00:00-04:00,0.05
2010-11-03 00:00:00-04:00,0.05
2011-02-02 00:00:00-05:00,0.05
2011-03-24 00:00:00-04:00,0.07
2011-05-04 00:00:00-04:00,0.12
2011-08-03 00:00:00-04:00,0.12
2011-11-02 00:00:00-04:00,0.12
2012-02-01 00:00:00-05:00,0.12
2012-03-22 00:00:00-04:00,0.1
2012-05-02 00:00:00-04:00,0.22
2012-08-08 00:00:00-04:00,0.22
2012-11-07 00:00:00-05:00,0.22
2013-01-30 00:00:00-05:00,0.25
2013-05-08 00:00:00-04:00,0.3
2013-08-07 00:00:00-04:00,0.3
2013-11-06 00:00:00-05:00,0.3
2014-02-05 00:00:00-05:00,0.3
2014-05-07 00:00:00-04:00,0.35
2014-08-06 00:00:00-04:00,0.35
2014-11-05 00:00:00-05:00,0.35
2015-02-04 00:00:00-05:00,0.35
2015-05-06 00:00:00-04:00,0.375
2015-08-05 00:00:00-04:00,0.375
2015-11-04 00:00:00-05:00,0.375
2016-02-03 00:00:00-05:00,0.375
2016-05-04 00:00:00-04:00,0.38
2016-08-03 00:00:00-04:00,0.38
2016-11-02 00:00:00-04:00,0.38
2017-02-01 00:00:00-05:00,0.38
2017-05-03 00:00:00-04:00,0.38
2017-08-02 00:00:00-04:00,0.39
2017-11-02 00:00:00-04:00,0.39
2018-02-01 00:00:00-05:00,0.39
2018-05-03 00:00:00-04:00,0.39
2018-08-09 00:00:00-04:00,0.43
2018-11-08 00:00:00-05:00,0.43
2019-01-31 00:00:00-05:00,0.45
2019-05-09 00:00:00-04:00,0.45
2019-08-08 00:00:00-04:00,0.51
2019-11-07 00:00:00-05:00,0.51
2020-02-06 00:00:00-05:00,0.51
2020-05-07 00:00:00-04:00,0.51
2020-08-06 00:00:00-04:00,0.1
2020-11-05 00:00:00-05:00,0.1
2021-02-04 00:00:00-05:00,0.1
2021-05-06 00:00:00-04:00,0.1
2021-08-05 00:00:00-04:00,0.2
2021-11-04 00:00:00-04:00,0.2
2022-02-03 00:00:00-05:00,0.25
2022-05-05 00:00:00-04:00,0.25
2022-08-04 00:00:00-04:00,0.3
2022-11-03 00:00:00-04:00,0.3
2023-02-02 00:00:00-05:00,0.3
2023-05-04 00:00:00-04:00,0.3
2023-08-03 00:00:00-04:00,0.35
2023-11-02 00:00:00-04:00,0.35
2024-02-01 00:00:00-05:00,0.35
2024-05-09 00:00:00-04:00,0.35
2024-08-09 00:00:00-04:00,0.4
2024-11-08 00:00:00-05:00,0.4
2025-02-07 00:00:00-05:00,0.4
2025-05-09 00:00:00-04:00,0.4
2025-08-08 00:00:00-04:00,0.45
2025-11-07 00:00:00-05:00,0.45
