Date,Dividends
2010-02-08 00:00:00-05:00,0.42
2010-05-11 00:00:00-04:00,0.44
2010-08-11 00:00:00-04:00,0.44
2010-11-09 00:00:00-05:00,0.44
2011-02-08 00:00:00-05:00,0.44
2011-05-11 00:00:00-04:00,0.47
2011-08-10 00:00:00-04:00,0.47
2011-11-08 00:00:00-05:00,0.47
2012-02-08 00:00:00-05:00,0.47
2012-05-10 00:00:00-04:00,0.57
2012-08-09 00:00:00-04:00,0.57
2012-11-07 00:00:00-05:00,0.57
2013-02-07 00:00:00-05:00,0.57
2013-05-09 00:00:00-04:00,0.63
2013-08-09 00:00:00-04:00,0.63
2013-11-07 00:00:00-05:00,0.63
2014-02-06 00:00:00-05:00,0.63
2014-05-09 00:00:00-04:00,0.69
2014-08-11 00:00:00-04:00,0.69
2014-11-07 00:00:00-05:00,0.69
2015-02-06 00:00:00-05:00,0.69
2015-05-11 00:00:00-04:00,0.73
2015-08-11 00:00:00-04:00,0.73
2015-11-09 00:00:00-05:00,0.73
2016-02-09 00:00:00-05:00,0.73
2016-05-11 00:00:00-04:00,0.75
2016-08-10 00:00:00-04:00,0.75
2016-11-08 00:00:00-05:00,0.75
2017-02-08 00:00:00-05:00,0.75
2017-05-10 00:00:00-04:00,0.77
2017-08-10 00:00:00-04:00,0.77
2017-11-10 00:00:00-05:00,0.77
2018-02-09 00:00:00-05:00,0.77
2018-05-11 00:00:00-04:00,0.82
2018-08-10 00:00:00-04:00,0.82
2018-11-09 00:00:00-05:00,0.82
2019-02-08 00:00:00-05:00,0.82
2019-05-10 00:00:00-04:00,0.87
2019-08-12 00:00:00-04:00,0.87
2019-11-08 00:00:00-05:00,0.87
2020-02-10 00:00:00-05:00,0.87
2020-05-12 00:00:00-04:00,0.87
2020-08-12 00:00:00-04:00,0.87
2020-11-10 00:00:00-05:00,0.87
2021-02-09 00:00:00-05:00,0.87
2021-05-12 00:00:00-04:00,0.87
2021-08-12 00:00:00-04:00,0.87
2021-11-10 00:00:00-05:00,0.88
2022-02-09 00:00:00-05:00,0.88
2022-05-12 00:00:00-04:00,0.88
2022-08-11 00:00:00-04:00,0.88
2022-11-14 00:00:00-05:00,0.91
2023-02-13 00:00:00-05:00,0.91
2023-05-15 00:00:00-04:00,0.91
2023-08-15 00:00:00-04:00,0.91
2023-11-14 00:00:00-05:00,0.95
2024-02-13 00:00:00-05:00,0.95
2024-05-14 00:00:00-04:00,0.95
2024-08-15 00:00:00-04:00,0.95
2024-11-14 00:00:00-05:00,0.99
2025-02-12 00:00:00-05:00,0.99
2025-05-15 00:00:00-04:00,0.99
2025-08-15 00:00:00-04:00,0.99
2025-11-14 00:00:00-05:00,1.03
